survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone
0,3,male,-0.5636740664747023,1,0,-0.5002397510893574,S,Third,man,True,Southampton,no,False
1,1,female,0.6692169576775449,1,0,0.788946607905507,C,First,woman,False,Cherbourg,yes,False
1,3,female,-0.2554513104366405,0,0,-0.48664993466069395,S,Third,woman,False,Southampton,yes,True
1,1,female,0.4380498906489985,1,0,0.4228611129909654,S,First,woman,False,Southampton,yes,False
0,3,male,0.4380498906489985,0,0,-0.4841333019887193,S,Third,man,True,Southampton,no,True
0,3,male,-0.10133993241760961,0,0,-0.47591297302898106,Q,Third,man,True,Queenstown,no,True
0,1,male,1.902107981829792,0,0,0.39794644953841574,S,First,man,True,Southampton,no,True
0,3,male,-2.104787846665011,3,1,-0.22190017756895475,S,Third,child,False,Southampton,no,False
1,3,female,-0.17839562142712506,0,2,-0.4220570338487224,S,Third,woman,False,Southampton,yes,False
1,2,female,-1.1801195785508258,1,0,-0.040787184044554156,C,Second,child,False,Cherbourg,yes,False
1,3,female,-1.9506764686459803,1,1,-0.3099823210880695,S,Third,child,False,Southampton,yes,False
1,1,female,2.210330737867854,0,0,-0.11167166653646252,S,First,woman,False,Southampton,yes,True
0,3,male,-0.7177854444937332,0,0,-0.4841333019887193,S,Third,man,True,Southampton,no,True
0,3,male,0.7462726466870603,1,5,-0.016542951535818605,S,Third,man,True,Southampton,no,False
0,3,female,-1.1801195785508258,0,0,-0.4880753554061005,S,Third,child,False,Southampton,no,True
1,2,female,1.9791636708393074,0,0,-0.32407546405112786,S,Second,woman,False,Southampton,yes,True
0,3,male,-2.104787846665011,4,1,-0.05982903349378355,Q,Third,child,False,Queenstown,no,False
1,2,male,-0.10133993241760961,0,0,-0.38447464817852084,S,Second,man,True,Southampton,yes,True
0,3,female,0.12982713461093673,1,0,-0.28380934129953256,S,Third,woman,False,Southampton,no,False
1,3,female,-0.10133993241760961,0,0,-0.5007430776237524,C,Third,woman,False,Cherbourg,yes,True
0,2,male,0.4380498906489985,0,0,-0.12274485029315124,S,Second,man,True,Southampton,no,True
1,2,male,0.36099420163948304,0,0,-0.38447464817852084,S,Second,man,True,Southampton,yes,True
1,3,female,-1.1030638895413103,0,0,-0.48455206966533587,Q,Third,child,False,Queenstown,yes,True
1,1,male,-0.10133993241760961,0,0,0.06851923277692655,S,First,man,True,Southampton,yes,True
0,3,female,-1.6424537126079184,3,1,-0.22190017756895475,S,Third,child,False,Southampton,no,False
1,3,female,0.6692169576775449,1,5,-0.014277982131041355,S,Third,woman,False,Southampton,yes,False
0,3,male,-0.10133993241760961,0,0,-0.5007430776237524,C,Third,man,True,Cherbourg,no,True
0,1,male,-0.7948411335032486,3,2,4.648790695770894,S,First,man,True,Southampton,no,False
1,3,female,-0.10133993241760961,0,0,-0.4875720288717055,Q,Third,woman,False,Queenstown,yes,True
0,3,male,-0.10133993241760961,0,0,-0.48723782005286725,S,Third,man,True,Southampton,no,True
0,1,male,0.8233283356965757,0,0,-0.08809987827767862,C,First,man,True,Cherbourg,no,True
1,1,female,-0.10133993241760961,1,0,2.3037078131670836,C,First,woman,False,Cherbourg,yes,False
1,3,female,-0.10133993241760961,0,0,-0.49017322040145855,Q,Third,woman,False,Queenstown,yes,True
0,2,male,2.8267762499439777,0,0,-0.434807301618015,S,Second,man,True,Southampton,no,True
0,1,male,-0.10133993241760961,1,0,1.008145313634504,C,First,man,True,Cherbourg,no,False
0,1,male,0.9774397137156066,1,0,0.40071474547758795,S,First,man,True,Southampton,no,False
1,3,male,-0.10133993241760961,0,0,-0.500658518765974,C,Third,man,True,Cherbourg,yes,True
0,3,male,-0.6407297554842177,0,0,-0.4841333019887193,S,Third,man,True,Southampton,no,True
0,3,female,-0.871896822512764,2,0,-0.28380934129953256,S,Third,woman,False,Southampton,no,False
1,3,female,-1.1801195785508258,1,0,-0.41987460999558585,C,Third,child,False,Cherbourg,yes,False
0,3,female,0.8233283356965757,1,0,-0.4554436895282076,S,Third,woman,False,Southampton,no,False
0,2,female,-0.17839562142712506,1,0,-0.22341015717213955,S,Second,woman,False,Southampton,no,False
0,3,male,-0.10133993241760961,0,0,-0.48723782005286725,C,Third,man,True,Cherbourg,no,True
1,2,female,-2.0277321576554956,1,2,0.1909121394926757,C,Second,child,False,Cherbourg,yes,False
1,3,female,-0.7948411335032486,0,0,-0.4875720288717055,Q,Third,woman,False,Queenstown,yes,True
0,3,male,-0.10133993241760961,0,0,-0.4841333019887193,S,Third,man,True,Southampton,no,True
0,3,male,-0.10133993241760961,1,0,-0.33414199473902667,Q,Third,man,True,Queenstown,no,False
1,3,female,-0.10133993241760961,0,0,-0.49017322040145855,Q,Third,woman,False,Queenstown,yes,True
0,3,male,-0.10133993241760961,2,0,-0.20973578188569775,C,Third,man,True,Cherbourg,no,False
0,3,female,-0.871896822512764,1,0,-0.28783595357469205,S,Third,woman,False,Southampton,no,False
0,3,male,-1.719509401617434,4,1,0.15282642728807924,S,Third,child,False,Southampton,no,False
0,3,male,-0.6407297554842177,0,0,-0.48916656733266867,S,Third,man,True,Southampton,no,True
1,1,female,1.5168295367822147,1,0,0.8985892468519636,C,First,woman,False,Cherbourg,yes,False
1,2,female,-0.024284243408094167,1,0,-0.12274485029315124,S,Second,woman,False,Southampton,yes,False
0,1,male,2.749720560934462,0,1,0.6016265915589479,C,First,man,True,Cherbourg,no,False
1,1,male,-0.10133993241760961,0,0,0.06851923277692655,S,First,man,True,Southampton,yes,True
1,2,female,-0.6407297554842177,0,0,-0.434807301618015,S,Second,woman,False,Southampton,yes,True
0,3,male,-0.0628120879128519,0,0,-0.500658518765974,C,Third,man,True,Cherbourg,no,True
1,2,female,-1.8736207796364648,1,2,-0.08751199288550533,S,Second,child,False,Southampton,yes,False
0,3,male,-1.4112866455793722,5,2,0.29803613246101984,S,Third,child,False,Southampton,no,False
0,3,male,-0.5636740664747023,0,0,-0.500658518765974,C,Third,man,True,Cherbourg,no,True
0,1,male,1.208606780744153,1,0,1.0344028522808193,S,First,man,True,Southampton,no,False
0,3,male,-1.9506764686459803,3,2,-0.08449203367913571,S,Third,child,False,Southampton,no,False
0,1,male,-0.10133993241760961,0,0,-0.08809987827767862,C,First,man,True,Cherbourg,no,True
1,3,male,-0.10133993241760961,1,1,-0.33925981894075447,C,Third,man,True,Cherbourg,yes,False
1,2,female,-0.024284243408094167,0,0,-0.434807301618015,S,Second,woman,False,Southampton,yes,True
0,3,male,-0.7948411335032486,0,0,-0.4819528914417204,S,Third,man,True,Southampton,no,True
1,3,female,-0.9489525115222794,4,2,-0.48664993466069395,S,Third,woman,False,Southampton,yes,False
0,3,male,-0.2554513104366405,2,0,-0.4718018018960432,S,Third,man,True,Southampton,no,False
0,2,male,0.20688282362045216,0,0,-0.434807301618015,S,Second,man,True,Southampton,no,True
0,3,female,-1.026008200531795,5,2,0.29803613246101984,S,Third,woman,False,Southampton,no,False
0,2,male,-0.6407297554842177,0,0,0.8335755650572377,S,Second,man,True,Southampton,no,True
0,3,male,-0.2554513104366405,1,0,-0.3551971503258359,C,Third,man,True,Cherbourg,no,False
1,3,male,0.20688282362045216,0,0,0.4912289628108992,S,Third,man,True,Southampton,yes,True
0,3,male,-0.3325069994461559,0,0,-0.4921865265390384,S,Third,man,True,Southampton,no,True
0,3,male,-0.10133993241760961,0,0,-0.48723782005286725,S,Third,man,True,Southampton,no,True
0,3,male,-0.10133993241760961,0,0,-0.4841333019887193,S,Third,man,True,Southampton,no,True
1,2,male,-2.1949430028061445,0,2,-0.06234566616575826,S,Second,child,False,Southampton,yes,False
1,3,female,0.052771445601421274,0,0,-0.3950445054008146,S,Third,woman,False,Southampton,yes,True
0,3,male,-0.5636740664747023,0,0,-0.4650068936817115,S,Third,man,True,Southampton,no,True
1,3,male,-0.024284243408094167,0,0,-0.4549403629938127,S,Third,man,True,Southampton,yes,True
1,3,female,-0.10133993241760961,0,0,-0.4894182305998661,Q,Third,woman,False,Queenstown,yes,True
0,1,male,-0.10133993241760961,0,0,0.30206274473617944,S,First,man,True,Southampton,no,True
1,2,female,-0.9489525115222794,0,0,-0.434807301618015,S,Second,woman,False,Southampton,yes,True
1,3,female,0.2839385126299676,3,0,-0.32709542325749746,S,Third,woman,False,Southampton,yes,False
0,3,male,-1.026008200531795,1,3,0.045869538729154176,S,Third,man,True,Southampton,no,False
0,3,male,-0.10133993241760961,0,0,-0.4841333019887193,S,Third,man,True,Southampton,no,True
1,1,female,-0.4866183774651868,3,2,4.648790695770894,S,First,woman,False,Southampton,yes,False
0,3,male,-0.4095626884556714,0,0,-0.4841333019887193,S,Third,man,True,Southampton,no,True
0,3,male,-0.024284243408094167,0,0,-0.4841333019887193,S,Third,man,True,Southampton,no,True
0,3,male,-0.7177854444937332,0,0,-0.4880753554061005,S,Third,man,True,Southampton,no,True
0,1,male,1.2856624697536683,1,0,0.5854355836005315,S,First,man,True,Southampton,no,False
0,3,male,-0.2554513104366405,1,2,-0.2319667082568536,S,Third,man,True,Southampton,no,False
