title,price_gbp,price_inr,rating
A Flight of Arrows (The Pathfinders #2),55.53,5858.42,5
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,5517.65,5
A Time of Torment (Charlie Parker #14),48.35,5100.92,5
While You Were Mine,41.32,4359.26,5
The Red Tent,35.66,3762.13,5
Mrs. Houdini,30.25,3191.38,5
The Passion of Dolssa,28.32,2987.76,5
"1,000 Places to See Before You Die",26.08,2751.44,5
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,2676.54,5
The Silkworm (Cormoran Strike #2),23.05,2431.78,5
Voyager (Outlander #3),21.07,2222.89,5
Between Shades of Gray,20.79,2193.34,5
A Spy's Devotion (The Regency Spies of London #1),16.97,1790.33,5
The Girl You Lost,12.29,1296.59,5
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,6087.35,4
A Year in Provence (Provence #1),56.88,6000.84,4
The Past Never Ends,56.5,5960.75,4
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,5734.98,4
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43,5214.86,4
Sharp Objects,47.82,5045.01,4
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4652.55,4
A Paris Apartment,39.01,4115.55,4
World Without End (The Pillars of the Earth #2),32.97,3478.34,4
The Marriage of Opposites,28.08,2962.44,4
Lost Among the Living,27.7,2922.35,4
The Mysterious Affair at Styles (Hercule Poirot #1),24.8,2616.4,4
Delivering the Truth (Quaker Midwife Mystery #1),20.89,2203.9,4
