title,price_gbp,price_inr,rating
Boar Island (Anna Pigeon #19),59.48,6275.14,3
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,6087.35,4
A Year in Provence (Provence #1),56.88,6000.84,4
The Past Never Ends,56.5,5960.75,4
The Last Painting of Sara de Vos,55.55,5860.52,2
A Flight of Arrows (The Pathfinders #2),55.53,5858.42,5
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,5734.98,4
The Last Mile (Amos Decker #2),54.21,5719.16,2
1st to Die (Women's Murder Club #1),53.98,5694.89,1
Tipping the Velvet,53.74,5669.57,1
